1	的	7922684	4.094325317834	de/di2/di4	(possessive particle)/of, really and truly, aim/clear
2	一	3050722	5.670893097424	yi1	one/1/single/a(n)
3	是	2615490	7.0225394492842	shi4	is/are/am/yes/to be
4	不	2237915	8.179060653924	bu4/bu2	(negative prefix)/not/no
5	了	2128528	9.2790522830384	le/liao3/liao4	(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place
6	在	2009181	10.317367156686	zai4	(located) at/in/exist
7	人	1867999	11.282721271452	ren2	man/person/people
8	有	1782004	12.203634448562	you3	to have/there is/there are/to exist/to be
9	我	1690048	13.077026131829	wo3	I/me/myself
10	他	1595761	13.901691695105	ta1	he/him
11	这	1552042	14.703763929078	zhe4/zhei4	this/these, this/these/(sometimes used before a measure word, especially in Beijing)
12	个	1199580	15.323689040917	ge4	(a measure word)/individual
13	们	1169853	15.928251681058	men	(plural marker for pronouns and a few animate nouns)
14	中	1104541	16.499062050484	zhong1/zhong4	within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)
15	来	1079469	17.056915583014	lai2	to come
16	上	1069575	17.609656043421	shang4	on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up
17	大	1054064	18.154380649605	da4/dai4	big/huge/large/major/great/wide/deep/oldest/eldest, doctor
18	为	1039036	18.691339008785	wei2/wei4	act as/take...to be/to be/to do/to serve as/to become, because of/for/to
19	和	1010465	19.213532299882	he2/he4/huo2/huo4	and/together with/with/peace/harmony/union, cap (a poem)/respond in singing, soft/warm, mix together/to blend
20	国	985350	19.722746532323	guo2	country/state/nation
21	地	969349	20.223691685823	de/di4	(subor. part. adverbial)/-ly, earth/ground/field/place/land
22	到	965035	20.722407428253	dao4	to (a place)/until (a time)/up to/to go/to arrive
23	以	910627	21.193005925076	yi3	to use/according to/so as to/in order to/by/with/because/Israel (abbrev.)
24	说	874977	21.645181031848	shui4/shuo1	persuade (politically), to speak/to say
25	时	833532	22.075937978714	shi2	o'clock/time/when/hour/season/period
26	要	811011	22.495056407563	yao1/yao4	demand/ask/request/coerce, important/vital/to want/to be going to/must
27	就	771108	22.893553559182	jiu4	at once/then/right away/only/(emphasis)/to approach/to move towards/to undertake
28	出	755256	23.283858632848	chu1	to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to occur/to happen/(a measure word for dramas, plays, or operas)
29	会	734888	23.66363782689	hui4/kuai4	can/be possible/be able to/to assemble/to meet/to gather/to see/union/group/association, to balance an account/accounting
30	可	723108	24.037329292046	ke3	can/may/able to/certain(ly)/to suit/(particle used for emphasis)
31	也	710259	24.404380585007	ye3	also/too
32	你	705205	24.768820045897	ni3	you
33	对	703632	25.13244660377	dui4	couple/pair/to be opposite/to oppose/to face/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right
34	生	682031	25.48491008595	sheng1	to be born/to give birth/life/to grow
35	能	665358	25.828757209579	neng2	can/may/capable/energy/able
36	而	649239	26.164274273623	er2	and/as well as/but (not)/yet (not)/(shows causal relation)/(shows change of state)/(shows contrast)
37	子	640640	26.495347502293	zi3/zi	11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)
38	那	638538	26.825334448611	na3/na4/nei4	how/which, that/those, that/those/(sometimes used before a measure word, especially in Beijing)
39	得	630688	27.151264631621	de2/de/dei3	obtain/get/gain/proper/suitable/proud/contented/allow/permit/ready/finished, a sentence particle used after a verb to show effect/degree or possibility, to have to/must/ought to/to need to
40	于	630524	27.47711006187	yu2	(surname), in/at/to/from/by/than/out of
41	着	626326	27.800786028123	zhao1/zhao2/zhe/zhu4/zhuo2	catch/receive/suffer, part. indicates the successful result of a verb/to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn, -ing part. (indicates an action in progress)/part. coverb-forming after some verbs, to make known/to show/to prove/to write/book/outstanding, to wear (clothes)/to contact/to use/to apply
